"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Gross domestic product at market prices","8,586,414.5",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Final consumption expenditure","6,721,830.4",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","1,835,315.9",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,133,630.5",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","4,886,981.8",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Final consumption expenditure of households","4,768,988.1",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Gross capital formation","1,752,981.2",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Gross fixed capital formation","1,810,364.0",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Exports of services","762,948.3",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Imports of services","730,581.9",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Gross domestic product at market prices","8,631,578.2",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure","6,758,130.5",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","1,843,586.0",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,136,797.7",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","4,914,959.6",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of households","4,796,098.8",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Gross capital formation","1,761,315.6",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Gross fixed capital formation","1,820,190.6",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Exports of services","770,280.0",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Imports of services","735,374.1",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Euro area (19 countries)","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Gross domestic product at market prices","8,485,046.1",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure","6,643,699.0",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","1,815,913.2",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,124,214.0",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","4,828,241.1",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of households","4,711,199.0",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Gross capital formation","1,730,465.3",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Gross fixed capital formation","1,787,014.7",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Exports of services","743,103.1",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Imports of services","714,856.8",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Euro area (12 countries)","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Belgium","Chain linked volumes (2005), million euro","Gross domestic product at market prices","325,385.4",""
"2009","Belgium","Chain linked volumes (2005), million euro","Final consumption expenditure","240,212.7",""
"2009","Belgium","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","73,694.2",""
"2009","Belgium","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","45,603.6",""
"2009","Belgium","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","166,523.8",""
"2009","Belgium","Chain linked volumes (2005), million euro","Final consumption expenditure of households","162,327.5",""
"2009","Belgium","Chain linked volumes (2005), million euro","Gross capital formation","76,615.9",""
"2009","Belgium","Chain linked volumes (2005), million euro","Gross fixed capital formation","71,466.8",""
"2009","Belgium","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Belgium","Chain linked volumes (2005), million euro","Exports of services","61,232.3",""
"2009","Belgium","Chain linked volumes (2005), million euro","Imports of services","53,453.8",""
"2009","Belgium","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Belgium","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Belgium","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Gross domestic product at market prices","27,972.1",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Final consumption expenditure","24,056.9",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","4,367.0",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","2,218.3",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","19,729.6",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Final consumption expenditure of households","19,648.7",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Gross capital formation","8,088.0",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Gross fixed capital formation","7,911.2",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Exports of services","4,217.5",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Imports of services","3,185.7",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Bulgaria","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Gross domestic product at market prices","120,921.8",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Final consumption expenditure","81,824.8",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","23,850.1",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","11,724.4",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","57,986.6",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Final consumption expenditure of households","57,148.0",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Gross capital formation","33,399.4",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Gross fixed capital formation","34,292.4",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Exports of services","12,725.5",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Imports of services","10,431.4",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Czech Republic","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Denmark","Chain linked volumes (2005), million euro","Gross domestic product at market prices","211,134.7",""
"2009","Denmark","Chain linked volumes (2005), million euro","Final consumption expenditure","161,014.7",""
"2009","Denmark","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","57,558.2",""
"2009","Denmark","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","40,130.5",""
"2009","Denmark","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","103,411.4",""
"2009","Denmark","Chain linked volumes (2005), million euro","Final consumption expenditure of households","100,204.8",""
"2009","Denmark","Chain linked volumes (2005), million euro","Gross capital formation","41,034.7",""
"2009","Denmark","Chain linked volumes (2005), million euro","Gross fixed capital formation","43,768.2",""
"2009","Denmark","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Denmark","Chain linked volumes (2005), million euro","Exports of services","45,144.6",""
"2009","Denmark","Chain linked volumes (2005), million euro","Imports of services","41,036.5",""
"2009","Denmark","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Denmark","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Denmark","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Gross domestic product at market prices","2,350,522.4",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Final consumption expenditure","1,819,646.4",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","461,518.2",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","288,839.3",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","1,358,550.1",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Final consumption expenditure of households","1,321,517.8",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Gross capital formation","419,344.3",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Gross fixed capital formation","448,159.7",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Exports of services","160,222.3",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Imports of services","172,011.8",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Estonia","Chain linked volumes (2005), million euro","Gross domestic product at market prices","10,792.7",""
"2009","Estonia","Chain linked volumes (2005), million euro","Final consumption expenditure","8,299.2",""
"2009","Estonia","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","2,148.1",""
"2009","Estonia","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,245.8",""
"2009","Estonia","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","6,117.3",""
"2009","Estonia","Chain linked volumes (2005), million euro","Final consumption expenditure of households","5,947.7",""
"2009","Estonia","Chain linked volumes (2005), million euro","Gross capital formation","2,507.9",""
"2009","Estonia","Chain linked volumes (2005), million euro","Gross fixed capital formation","2,761.7",""
"2009","Estonia","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Estonia","Chain linked volumes (2005), million euro","Exports of services","2,690.0",""
"2009","Estonia","Chain linked volumes (2005), million euro","Imports of services","1,612.5",""
"2009","Estonia","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Estonia","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Estonia","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Ireland","Chain linked volumes (2005), million euro","Gross domestic product at market prices","173,105.5",""
"2009","Ireland","Chain linked volumes (2005), million euro","Final consumption expenditure","111,079.9",""
"2009","Ireland","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","28,798.8",""
"2009","Ireland","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","20,689.6",""
"2009","Ireland","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","82,273.9",""
"2009","Ireland","Chain linked volumes (2005), million euro","Final consumption expenditure of households","80,669.7",""
"2009","Ireland","Chain linked volumes (2005), million euro","Gross capital formation","38,621.9",""
"2009","Ireland","Chain linked volumes (2005), million euro","Gross fixed capital formation","40,016.7",""
"2009","Ireland","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Ireland","Chain linked volumes (2005), million euro","Exports of services","56,906.0",""
"2009","Ireland","Chain linked volumes (2005), million euro","Imports of services","71,101.5",""
"2009","Ireland","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Ireland","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Ireland","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Greece","Chain linked volumes (2005), million euro","Gross domestic product at market prices","207,348.8",""
"2009","Greece","Chain linked volumes (2005), million euro","Final consumption expenditure","188,397.9",""
"2009","Greece","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","44,740.4",""
"2009","Greece","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","21,851.8",""
"2009","Greece","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","143,616.0",""
"2009","Greece","Chain linked volumes (2005), million euro","Final consumption expenditure of households","139,645.2",""
"2009","Greece","Chain linked volumes (2005), million euro","Gross capital formation","39,296.5",""
"2009","Greece","Chain linked volumes (2005), million euro","Gross fixed capital formation","45,864.2",""
"2009","Greece","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Greece","Chain linked volumes (2005), million euro","Exports of services","22,573.2",""
"2009","Greece","Chain linked volumes (2005), million euro","Imports of services","13,159.7",""
"2009","Greece","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Greece","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Greece","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Spain","Chain linked volumes (2005), million euro","Gross domestic product at market prices","980,837.4",""
"2009","Spain","Chain linked volumes (2005), million euro","Final consumption expenditure","748,761.3",""
"2009","Spain","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","198,064.4",""
"2009","Spain","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","115,763.0",""
"2009","Spain","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","550,825.8",""
"2009","Spain","Chain linked volumes (2005), million euro","Final consumption expenditure of households","541,473.0",""
"2009","Spain","Chain linked volumes (2005), million euro","Gross capital formation","251,202.0",""
"2009","Spain","Chain linked volumes (2005), million euro","Gross fixed capital formation","248,914.0",""
"2009","Spain","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Spain","Chain linked volumes (2005), million euro","Exports of services","73,038.6",""
"2009","Spain","Chain linked volumes (2005), million euro","Imports of services","48,220.2",""
"2009","Spain","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Spain","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Spain","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","France","Chain linked volumes (2005), million euro","Gross domestic product at market prices","1,805,802.6",""
"2009","France","Chain linked volumes (2005), million euro","Final consumption expenditure","1,463,844.2",""
"2009","France","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","433,154.9",""
"2009","France","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","278,484.3",""
"2009","France","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","1,030,787.7",""
"2009","France","Chain linked volumes (2005), million euro","Final consumption expenditure of households","995,655.8",""
"2009","France","Chain linked volumes (2005), million euro","Gross capital formation","377,373.3",""
"2009","France","Chain linked volumes (2005), million euro","Gross fixed capital formation","386,114.1",""
"2009","France","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","France","Chain linked volumes (2005), million euro","Exports of services","113,980.4",""
"2009","France","Chain linked volumes (2005), million euro","Imports of services","107,771.9",""
"2009","France","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","France","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","France","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Croatia","Chain linked volumes (2005), million euro","Gross domestic product at market prices","38,020.4",""
"2009","Croatia","Chain linked volumes (2005), million euro","Final consumption expenditure","30,122.6",""
"2009","Croatia","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","7,600.8",""
"2009","Croatia","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","4,096.0",""
"2009","Croatia","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","22,505.4",""
"2009","Croatia","Chain linked volumes (2005), million euro","Final consumption expenditure of households","22,135.2",""
"2009","Croatia","Chain linked volumes (2005), million euro","Gross capital formation","10,128.2",""
"2009","Croatia","Chain linked volumes (2005), million euro","Gross fixed capital formation","10,237.9",""
"2009","Croatia","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Croatia","Chain linked volumes (2005), million euro","Exports of services","7,695.9",""
"2009","Croatia","Chain linked volumes (2005), million euro","Imports of services","2,810.7",""
"2009","Croatia","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Croatia","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Croatia","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Italy","Chain linked volumes (2005), million euro","Gross domestic product at market prices","1,442,171.8",""
"2009","Italy","Chain linked volumes (2005), million euro","Final consumption expenditure","1,180,207.5",""
"2009","Italy","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","295,465.4",""
"2009","Italy","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","175,464.8",""
"2009","Italy","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","884,792.6",""
"2009","Italy","Chain linked volumes (2005), million euro","Final consumption expenditure of households","876,584.7",""
"2009","Italy","Chain linked volumes (2005), million euro","Gross capital formation","277,601.4",""
"2009","Italy","Chain linked volumes (2005), million euro","Gross fixed capital formation","288,455.0",""
"2009","Italy","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Italy","Chain linked volumes (2005), million euro","Exports of services","64,179.4",""
"2009","Italy","Chain linked volumes (2005), million euro","Imports of services","75,145.4",""
"2009","Italy","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Italy","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Italy","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Gross domestic product at market prices","16,808.6",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Final consumption expenditure","13,840.6",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","3,071.1",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,306.6",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","10,769.5",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Final consumption expenditure of households","10,631.3",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Gross capital formation","3,900.3",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Gross fixed capital formation","3,971.8",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Exports of services","6,362.9",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Imports of services","3,370.9",""
"2009","Cyprus","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Cyprus","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Latvia","Chain linked volumes (2005), million euro","Gross domestic product at market prices","13,945.3",""
"2009","Latvia","Chain linked volumes (2005), million euro","Final consumption expenditure","11,112.8",""
"2009","Latvia","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","2,457.4",""
"2009","Latvia","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,008.6",""
"2009","Latvia","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","8,589.8",""
"2009","Latvia","Chain linked volumes (2005), million euro","Final consumption expenditure of households","8,442.1",""
"2009","Latvia","Chain linked volumes (2005), million euro","Gross capital formation","3,529.1",""
"2009","Latvia","Chain linked volumes (2005), million euro","Gross fixed capital formation","3,666.9",""
"2009","Latvia","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Latvia","Chain linked volumes (2005), million euro","Exports of services","2,282.4",""
"2009","Latvia","Chain linked volumes (2005), million euro","Imports of services","1,250.9",""
"2009","Latvia","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Latvia","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Latvia","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Gross domestic product at market prices","21,907.6",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Final consumption expenditure","18,366.5",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","3,997.9",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","2,166.8",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","14,299.0",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Final consumption expenditure of households","14,252.9",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Gross capital formation","3,480.0",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Gross fixed capital formation","4,214.7",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Exports of services","2,466.6",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Imports of services","2,058.5",""
"2009","Lithuania","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Lithuania","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Gross domestic product at market prices","32,314.5",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Final consumption expenditure","17,474.0",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","5,722.6",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","3,430.9",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","11,751.0",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Final consumption expenditure of households","11,262.5",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Gross capital formation","5,813.4",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Gross fixed capital formation","6,535.6",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Exports of services","43,303.8",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Imports of services","32,131.8",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","Luxembourg","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","Hungary","Chain linked volumes (2005), million euro","Gross domestic product at market prices","89,359.3",""
"2009","Hungary","Chain linked volumes (2005), million euro","Final consumption expenditure","67,093.7",""
"2009","Hungary","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","19,852.0",""
"2009","Hungary","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","10,573.4",""
"2009","Hungary","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","47,220.1",""
